Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,8,0,3,8,0,0,3
40.0,12,8,0,6,8,0,0,6
50.0,20,10,0,8,10,0,0,6
60.0,20,12,0,11,12,0,0,9
70.0,24,15,0,13,15,0,0,11
80.0,24,15,0,18,15,0,0,15
90.0,32,15,0,22,15,0,0,15
100.0,32,19,0,23,19,0,0,15
110.0,36,20,0,25,20,0,0,16
120.0,36,26,2,28,25,1,1,19
130.0,44,26,4,29,23,1,3,20
140.0,44,31,4,30,28,1,3,21
150.0,48,32,7,31,27,2,5,21
160.0,48,34,9,34,27,2,7,24
170.0,56,35,10,35,27,2,8,25
180.0,56,40,12,36,30,2,10,26
190.0,60,44,13,37,33,2,11,27
200.0,60,45,18,40,29,2,16,30
210.0,60,48,21,40,29,2,19,30
220.0,60,48,21,41,29,2,19,31
230.0,60,48,22,41,28,2,20,31
240.0,60,48,22,43,28,2,20,32
250.0,60,48,22,45,28,2,20,34
260.0,60,48,22,45,28,2,20,34
270.0,60,48,22,45,28,2,20,34
280.0,60,48,22,47,28,2,20,36
290.0,60,48,22,47,28,2,20,36
300.0,60,48,22,51,28,2,20,39
310.0,60,48,22,51,28,2,20,39
