Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,1,7,0,0,0
40.0,12,9,2,4,7,0,2,3
50.0,20,10,2,5,8,0,2,3
60.0,20,14,2,9,12,0,2,7
70.0,24,17,3,12,14,0,3,10
80.0,24,20,4,15,16,0,4,13
90.0,32,21,4,18,17,0,4,16
100.0,32,26,5,18,21,0,5,16
110.0,36,29,6,19,23,0,6,17
120.0,36,32,8,23,24,0,8,21
130.0,44,34,8,25,26,0,8,23
140.0,44,39,8,28,31,0,8,26
150.0,48,42,13,29,29,0,13,27
160.0,48,43,13,32,30,0,13,30
170.0,56,45,14,33,31,0,14,31
180.0,56,50,16,34,34,0,16,32
190.0,60,51,18,34,33,0,18,32
200.0,60,54,18,38,36,0,18,36
210.0,60,56,18,38,38,0,18,36
220.0,60,57,21,41,36,0,21,39
230.0,60,57,22,42,35,0,22,40
240.0,60,57,22,43,35,0,22,41
250.0,60,57,22,43,35,0,22,41
260.0,60,57,22,43,35,0,22,41
270.0,60,57,22,44,35,0,22,42
280.0,60,57,22,46,35,0,22,44
290.0,60,58,22,48,36,0,22,46
300.0,60,58,22,52,36,0,22,50
310.0,60,58,22,54,36,0,22,52
