Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,10,0,12,10,0,0,8
70.0,24,13,2,13,11,0,2,9
80.0,24,14,3,18,12,1,2,13
90.0,32,14,3,22,12,1,2,14
100.0,32,18,3,23,16,1,2,14
110.0,36,19,3,26,17,1,2,16
120.0,36,19,3,30,17,1,2,19
130.0,44,21,4,32,18,1,3,19
140.0,44,25,4,34,22,1,3,21
150.0,48,28,4,39,25,1,3,24
160.0,48,29,5,40,25,1,4,25
170.0,56,31,6,42,26,1,5,27
180.0,56,35,7,43,29,1,6,27
190.0,60,40,7,43,34,1,6,27
200.0,60,42,11,47,32,1,10,31
210.0,60,43,13,47,32,2,11,31
220.0,60,43,14,48,31,2,12,32
230.0,60,43,14,49,31,2,12,33
240.0,60,43,15,49,30,2,13,33
250.0,60,43,15,50,30,2,13,34
260.0,60,43,15,51,30,2,13,34
270.0,60,43,15,51,30,2,13,34
280.0,60,43,15,52,30,2,13,35
290.0,60,43,15,52,30,2,13,35
300.0,60,43,15,54,30,2,13,37
310.0,60,43,15,54,30,2,13,37
