Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,8,0,3,8,0,0,3
40.0,12,9,0,6,9,0,0,6
50.0,20,10,0,8,10,0,0,6
60.0,20,12,0,12,12,0,0,10
70.0,24,16,2,13,14,0,2,11
80.0,24,18,3,16,15,0,3,14
90.0,32,19,6,17,13,0,6,14
100.0,32,23,7,18,17,1,6,15
110.0,36,28,10,19,19,1,9,16
120.0,36,30,11,21,20,1,10,18
130.0,44,32,13,22,20,1,12,19
140.0,44,37,14,23,24,1,13,20
150.0,48,40,17,25,24,1,16,22
160.0,48,41,18,26,24,1,17,23
170.0,56,43,19,27,25,1,18,24
180.0,56,44,22,28,23,1,21,25
190.0,60,50,24,28,28,2,22,25
200.0,60,50,26,32,26,2,24,29
210.0,60,53,28,35,27,2,26,32
220.0,60,54,31,35,25,2,29,32
230.0,60,54,31,36,25,2,29,33
240.0,60,54,31,38,25,2,29,35
250.0,60,54,31,41,25,2,29,37
260.0,60,54,31,42,25,2,29,38
270.0,60,54,31,44,25,2,29,40
280.0,60,54,31,44,25,2,29,40
290.0,60,55,31,45,26,2,29,41
300.0,60,55,32,47,25,2,30,43
310.0,60,55,32,47,25,2,30,43
