Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,12,0,12,12,0,0,8
70.0,24,13,0,14,13,0,0,10
80.0,24,16,2,16,15,1,1,12
90.0,32,17,3,20,15,1,2,15
100.0,32,23,3,20,21,1,2,15
110.0,36,25,7,21,19,1,6,16
120.0,36,28,7,24,22,1,6,19
130.0,44,30,7,27,24,1,6,22
140.0,44,34,7,28,28,1,6,23
150.0,48,37,9,29,29,1,8,24
160.0,48,40,11,31,30,1,10,26
170.0,56,41,13,32,29,1,12,27
180.0,56,44,15,33,30,1,14,28
190.0,60,50,16,33,35,1,15,28
200.0,60,51,22,35,30,1,21,29
210.0,60,53,23,35,31,1,22,29
220.0,60,54,25,35,30,1,24,29
230.0,60,54,27,38,28,1,26,32
240.0,60,54,27,38,28,1,26,32
250.0,60,54,27,38,28,1,26,32
260.0,60,54,27,38,28,1,26,32
270.0,60,54,27,39,28,1,26,33
280.0,60,54,27,40,28,1,26,34
290.0,60,54,27,41,28,1,26,35
300.0,60,54,27,44,28,1,26,38
310.0,60,54,27,45,28,1,26,39
