Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,8,0,3,8,0,0,3
40.0,12,8,0,6,8,0,0,6
50.0,20,9,0,8,9,0,0,6
60.0,20,12,0,10,12,0,0,8
70.0,24,15,2,13,13,0,2,11
80.0,24,19,3,16,16,0,3,13
90.0,32,21,5,17,16,0,5,14
100.0,32,25,7,17,18,0,7,14
110.0,36,27,7,18,20,0,7,15
120.0,36,32,12,20,20,0,12,17
130.0,44,33,14,20,19,0,14,17
140.0,44,37,16,20,21,0,16,17
150.0,48,40,22,20,19,1,21,17
160.0,48,41,24,20,18,1,23,17
170.0,56,43,27,21,17,1,26,18
180.0,56,49,28,22,22,1,27,19
190.0,60,52,29,22,24,1,28,19
200.0,60,52,32,27,21,1,31,24
210.0,60,56,35,28,22,1,34,25
220.0,60,56,37,31,20,1,36,28
230.0,60,56,38,32,19,1,37,29
240.0,60,56,38,35,19,1,37,32
250.0,60,56,38,37,19,1,37,34
260.0,60,56,39,39,18,1,38,36
270.0,60,56,39,41,18,1,38,38
280.0,60,56,39,46,18,1,38,42
290.0,60,56,39,49,18,1,38,45
300.0,60,56,39,50,18,1,38,46
310.0,60,56,39,50,18,1,38,46
