Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,9,2,4,7,0,2,3
50.0,20,11,3,5,8,0,3,4
60.0,20,14,4,8,10,0,4,7
70.0,24,17,7,11,10,0,7,10
80.0,24,20,8,12,12,0,8,11
90.0,32,23,11,14,12,0,11,13
100.0,32,26,12,14,14,0,12,13
110.0,36,30,15,15,15,0,15,14
120.0,36,32,18,17,14,0,18,16
130.0,44,35,22,19,13,0,22,18
140.0,44,38,23,19,15,0,23,18
150.0,48,42,29,19,13,0,29,18
160.0,48,44,29,22,15,0,29,21
170.0,56,46,32,22,14,0,32,21
180.0,56,47,34,22,13,0,34,21
190.0,60,53,38,24,15,0,38,23
200.0,60,55,40,28,15,0,40,27
210.0,60,58,41,29,17,0,41,28
220.0,60,58,42,33,16,0,42,32
230.0,60,58,43,35,15,0,43,34
240.0,60,58,43,36,15,0,43,35
250.0,60,58,43,36,15,0,43,35
260.0,60,58,43,39,15,0,43,38
270.0,60,58,43,43,15,0,43,42
280.0,60,58,43,45,15,0,43,44
290.0,60,59,43,49,16,0,43,48
300.0,60,59,44,50,15,0,44,49
310.0,60,59,44,52,15,0,44,51
