Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,8,0,3,8,0,0,3
40.0,12,8,0,6,8,0,0,6
50.0,20,9,0,8,9,0,0,6
60.0,20,11,0,12,11,0,0,9
70.0,24,14,1,14,13,0,1,11
80.0,24,15,2,16,14,1,1,13
90.0,32,16,4,18,13,1,3,13
100.0,32,21,4,19,18,1,3,13
110.0,36,22,4,20,19,1,3,13
120.0,36,26,6,25,21,1,5,18
130.0,44,28,7,28,22,1,6,21
140.0,44,34,7,29,28,1,6,22
150.0,48,34,12,30,23,1,11,23
160.0,48,37,13,32,25,1,12,25
170.0,56,39,15,33,25,1,14,26
180.0,56,45,16,33,30,1,15,26
190.0,60,47,17,33,32,2,15,26
200.0,60,48,23,37,27,2,21,29
210.0,60,50,26,38,26,2,24,30
220.0,60,51,28,40,25,2,26,32
230.0,60,51,28,41,25,2,26,33
240.0,60,51,28,42,25,2,26,34
250.0,60,51,28,42,25,2,26,34
260.0,60,51,28,42,25,2,26,34
270.0,60,51,28,45,25,2,26,37
280.0,60,51,28,47,25,2,26,39
290.0,60,51,28,48,25,2,26,40
300.0,60,51,28,50,25,2,26,42
310.0,60,51,28,50,25,2,26,42
