Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,1,7,0,0,0
40.0,12,8,0,6,8,0,0,5
50.0,20,9,0,8,9,0,0,5
60.0,20,12,0,12,12,0,0,9
70.0,24,13,2,13,11,0,2,9
80.0,24,16,3,17,14,1,2,12
90.0,32,19,5,18,15,1,4,13
100.0,32,23,5,19,19,1,4,14
110.0,36,25,7,20,19,1,6,15
120.0,36,30,10,24,21,1,9,19
130.0,44,31,13,25,19,1,12,20
140.0,44,37,13,25,25,1,12,20
150.0,48,39,19,27,21,1,18,22
160.0,48,40,19,29,22,1,18,24
170.0,56,42,22,31,21,1,21,26
180.0,56,46,23,32,24,1,22,27
190.0,60,51,27,32,25,1,26,27
200.0,60,51,31,33,21,1,30,28
210.0,60,55,32,34,24,1,31,29
220.0,60,55,34,34,22,1,33,29
230.0,60,55,34,34,22,1,33,29
240.0,60,55,35,37,21,1,34,32
250.0,60,55,35,40,21,1,34,35
260.0,60,55,35,40,21,1,34,35
270.0,60,55,35,41,21,1,34,36
280.0,60,55,35,43,21,1,34,38
290.0,60,55,35,44,21,1,34,39
300.0,60,55,35,44,21,1,34,39
310.0,60,55,35,45,21,1,34,40
