Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,9,0,8,9,0,0,5
60.0,20,11,0,11,11,0,0,8
70.0,24,15,0,14,15,0,0,11
80.0,24,15,0,18,15,0,0,15
90.0,32,15,0,22,15,0,0,15
100.0,32,19,0,23,19,0,0,15
110.0,36,21,0,26,21,0,0,17
120.0,36,22,0,30,22,0,0,21
130.0,44,23,0,34,23,0,0,23
140.0,44,27,0,35,27,0,0,23
150.0,48,30,2,39,29,1,1,26
160.0,48,30,2,40,29,1,1,27
170.0,56,32,2,42,31,1,1,28
180.0,56,35,2,43,34,1,1,28
190.0,60,40,2,46,39,1,1,31
200.0,60,42,6,47,37,1,5,32
210.0,60,43,7,48,38,2,5,33
220.0,60,43,7,49,38,2,5,34
230.0,60,43,9,49,36,2,7,34
240.0,60,43,9,49,36,2,7,34
250.0,60,43,9,49,36,2,7,34
260.0,60,43,9,49,36,2,7,34
270.0,60,43,9,51,36,2,7,35
280.0,60,43,9,53,36,2,7,36
290.0,60,43,9,53,36,2,7,36
300.0,60,43,9,53,36,2,7,36
310.0,60,43,9,53,36,2,7,36
