Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,2,7,0,0,1
40.0,12,7,2,5,5,0,2,4
50.0,20,9,2,6,7,0,2,4
60.0,20,13,2,11,11,0,2,8
70.0,24,15,3,13,12,0,3,10
80.0,24,18,3,17,15,0,3,14
90.0,32,18,3,19,15,0,3,15
100.0,32,24,4,21,20,0,4,16
110.0,36,24,4,24,20,0,4,18
120.0,36,26,6,27,20,0,6,21
130.0,44,28,7,29,21,0,7,22
140.0,44,35,8,30,27,0,8,23
150.0,48,37,14,30,23,0,14,23
160.0,48,39,15,35,24,0,15,28
170.0,56,40,16,35,24,0,16,28
180.0,56,46,19,36,27,0,19,29
190.0,60,47,20,36,28,1,19,29
200.0,60,50,25,37,26,1,24,30
210.0,60,52,27,38,26,1,26,31
220.0,60,52,28,41,25,1,27,34
230.0,60,52,28,42,25,1,27,35
240.0,60,52,28,43,25,1,27,36
250.0,60,52,28,43,25,1,27,36
260.0,60,52,28,45,25,1,27,38
270.0,60,52,28,47,25,1,27,40
280.0,60,52,28,47,25,1,27,40
290.0,60,52,28,48,25,1,27,41
300.0,60,52,28,52,25,1,27,45
310.0,60,52,28,52,25,1,27,45
