Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,9,0,8,9,0,0,5
60.0,20,10,0,12,10,0,0,9
70.0,24,14,2,13,12,0,2,9
80.0,24,15,2,18,13,0,2,14
90.0,32,15,2,22,13,0,2,15
100.0,32,19,2,23,17,0,2,15
110.0,36,21,2,28,19,0,2,19
120.0,36,21,2,30,19,0,2,21
130.0,44,23,2,34,21,0,2,23
140.0,44,27,2,35,25,0,2,23
150.0,48,28,2,42,26,0,2,28
160.0,48,29,2,42,27,0,2,28
170.0,56,29,2,46,27,0,2,29
180.0,56,32,2,47,30,0,2,29
190.0,60,37,2,48,35,0,2,29
200.0,60,38,6,50,32,0,6,31
210.0,60,41,8,50,33,0,8,31
220.0,60,41,10,51,31,0,10,32
230.0,60,41,10,52,31,0,10,33
240.0,60,41,10,52,31,0,10,33
250.0,60,41,10,52,31,0,10,33
260.0,60,41,10,52,31,0,10,33
270.0,60,41,10,52,31,0,10,33
280.0,60,41,10,52,31,0,10,33
290.0,60,41,10,52,31,0,10,33
300.0,60,41,10,52,31,0,10,33
310.0,60,41,10,52,31,0,10,33
