Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,9,0,12,9,0,0,8
70.0,24,13,0,15,13,0,0,10
80.0,24,13,0,18,13,0,0,13
90.0,32,13,0,22,13,0,0,13
100.0,32,17,0,23,17,0,0,13
110.0,36,18,1,27,17,0,1,16
120.0,36,19,1,29,18,0,1,17
130.0,44,20,1,33,19,0,1,19
140.0,44,25,1,34,24,0,1,19
150.0,48,26,2,39,24,0,2,22
160.0,48,30,2,40,28,0,2,23
170.0,56,30,2,44,28,0,2,27
180.0,56,34,2,45,32,0,2,28
190.0,60,39,4,47,35,0,4,30
200.0,60,41,4,50,37,0,4,33
210.0,60,42,5,51,37,0,5,34
220.0,60,43,6,54,37,0,6,37
230.0,60,43,6,56,37,0,6,39
240.0,60,43,6,56,37,0,6,39
250.0,60,43,6,56,37,0,6,39
260.0,60,43,6,56,37,0,6,39
270.0,60,43,6,57,37,0,6,40
280.0,60,43,6,57,37,0,6,40
290.0,60,43,6,57,37,0,6,40
300.0,60,43,6,57,37,0,6,40
310.0,60,43,6,57,37,0,6,40
