Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,6,0,3,6,0,0,2
40.0,12,6,0,6,6,0,0,4
50.0,20,7,0,8,7,0,0,4
60.0,20,10,0,12,10,0,0,7
70.0,24,12,0,14,12,0,0,8
80.0,24,15,2,16,13,0,2,10
90.0,32,16,4,18,12,0,4,12
100.0,32,22,5,19,18,1,4,13
110.0,36,22,5,21,18,1,4,14
120.0,36,25,8,23,18,1,7,16
130.0,44,28,10,24,19,1,9,17
140.0,44,33,10,26,24,1,9,19
150.0,48,36,14,27,23,1,13,20
160.0,48,37,16,29,22,1,15,22
170.0,56,39,19,29,21,1,18,22
180.0,56,42,21,29,22,1,20,22
190.0,60,47,25,29,23,1,24,22
200.0,60,49,27,34,23,1,26,27
210.0,60,51,30,35,23,2,28,28
220.0,60,51,31,35,22,2,29,28
230.0,60,51,32,35,21,2,30,28
240.0,60,51,33,39,20,2,31,31
250.0,60,51,33,40,20,2,31,32
260.0,60,51,33,40,20,2,31,32
270.0,60,51,33,41,20,2,31,33
280.0,60,51,33,45,20,2,31,37
290.0,60,51,33,47,20,2,31,39
300.0,60,51,33,50,20,2,31,42
310.0,60,51,33,52,20,2,31,44
