Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,8,0,6,8,0,0,5
50.0,20,9,0,8,9,0,0,5
60.0,20,10,0,11,10,0,0,8
70.0,24,14,0,14,14,0,0,10
80.0,24,16,2,16,14,0,2,12
90.0,32,19,2,19,17,0,2,14
100.0,32,23,3,20,20,0,3,15
110.0,36,26,6,20,20,0,6,15
120.0,36,29,7,25,22,0,7,20
130.0,44,30,8,27,22,0,8,22
140.0,44,34,8,28,26,0,8,22
150.0,48,38,10,30,28,0,10,24
160.0,48,39,13,32,26,0,13,26
170.0,56,41,16,32,25,0,16,26
180.0,56,45,18,33,27,0,18,27
190.0,60,50,20,33,30,0,20,27
200.0,60,51,25,35,26,0,25,29
210.0,60,54,25,35,29,0,25,29
220.0,60,54,29,38,25,0,29,32
230.0,60,54,29,39,25,0,29,33
240.0,60,54,29,40,25,0,29,34
250.0,60,54,29,41,25,0,29,35
260.0,60,54,29,41,25,0,29,35
270.0,60,54,29,42,25,0,29,36
280.0,60,54,29,45,25,0,29,39
290.0,60,54,29,47,25,0,29,41
300.0,60,54,29,48,25,0,29,42
310.0,60,54,29,50,25,0,29,44
