Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,1,7,0,0,0
40.0,12,8,2,4,6,0,2,3
50.0,20,10,2,5,8,0,2,3
60.0,20,14,3,7,11,0,3,5
70.0,24,16,4,11,12,0,4,9
80.0,24,20,5,15,15,0,5,13
90.0,32,21,7,17,14,0,7,15
100.0,32,26,8,18,18,0,8,16
110.0,36,28,12,18,16,0,12,16
120.0,36,32,15,19,17,0,15,17
130.0,44,34,19,19,15,0,19,17
140.0,44,38,19,20,19,0,19,18
150.0,48,40,21,21,20,1,20,19
160.0,48,42,25,23,18,1,24,21
170.0,56,44,27,24,18,1,26,22
180.0,56,47,29,26,19,1,28,24
190.0,60,53,29,26,25,1,28,24
200.0,60,54,34,26,21,1,33,24
210.0,60,57,37,29,21,1,36,27
220.0,60,57,37,33,21,1,36,31
230.0,60,57,37,35,21,1,36,33
240.0,60,57,37,39,21,1,36,37
250.0,60,57,37,41,21,1,36,39
260.0,60,57,37,43,21,1,36,41
270.0,60,57,37,46,21,1,36,44
280.0,60,57,37,50,21,1,36,47
290.0,60,57,37,51,21,1,36,48
300.0,60,57,37,53,21,1,36,50
310.0,60,57,37,53,21,1,36,50
