Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,6,0,3,6,0,0,2
40.0,12,7,0,6,7,0,0,4
50.0,20,7,0,8,7,0,0,4
60.0,20,11,0,12,11,0,0,7
70.0,24,12,0,14,12,0,0,9
80.0,24,12,0,18,12,0,0,12
90.0,32,12,0,22,12,0,0,12
100.0,32,16,0,23,16,0,0,12
110.0,36,17,0,25,17,0,0,12
120.0,36,18,1,30,17,0,1,17
130.0,44,20,1,34,19,0,1,19
140.0,44,24,1,35,23,0,1,20
150.0,48,25,1,40,24,0,1,23
160.0,48,25,1,42,24,0,1,25
170.0,56,26,1,46,25,0,1,26
180.0,56,29,1,47,28,0,1,26
190.0,60,33,3,47,32,2,1,26
200.0,60,34,5,50,31,2,3,29
210.0,60,37,7,51,32,2,5,30
220.0,60,37,8,51,31,2,6,30
230.0,60,37,9,51,30,2,7,30
240.0,60,37,9,51,30,2,7,30
250.0,60,37,10,51,29,2,8,30
260.0,60,37,10,51,29,2,8,30
270.0,60,37,10,51,29,2,8,30
280.0,60,37,10,51,29,2,8,30
290.0,60,37,10,51,29,2,8,30
300.0,60,37,10,51,29,2,8,30
310.0,60,37,10,52,29,2,8,30
