Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,8,0,3,8,0,0,3
40.0,12,8,0,6,8,0,0,6
50.0,20,9,0,8,9,0,0,6
60.0,20,11,0,12,11,0,0,9
70.0,24,14,0,14,14,0,0,11
80.0,24,14,0,18,14,0,0,14
90.0,32,14,0,22,14,0,0,14
100.0,32,18,0,23,18,0,0,14
110.0,36,20,0,26,20,0,0,16
120.0,36,20,0,30,20,0,0,20
130.0,44,22,1,33,21,0,1,21
140.0,44,27,1,34,26,0,1,21
150.0,48,30,1,38,29,0,1,24
160.0,48,31,2,40,29,0,2,26
170.0,56,33,2,41,31,0,2,27
180.0,56,39,3,44,36,0,3,30
190.0,60,42,3,45,39,0,3,31
200.0,60,42,7,47,35,0,7,33
210.0,60,46,8,48,38,0,8,34
220.0,60,46,10,49,36,0,10,35
230.0,60,46,12,49,34,0,12,35
240.0,60,46,12,49,34,0,12,35
250.0,60,46,12,49,34,0,12,35
260.0,60,46,12,50,34,0,12,36
270.0,60,46,12,50,34,0,12,36
280.0,60,46,12,51,34,0,12,37
290.0,60,46,12,51,34,0,12,37
300.0,60,46,12,51,34,0,12,37
310.0,60,46,12,51,34,0,12,37
