Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,8,0,6,8,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,9,0,12,9,0,0,8
70.0,24,12,1,14,12,1,0,9
80.0,24,13,1,18,13,1,0,12
90.0,32,13,1,22,13,1,0,13
100.0,32,17,1,23,17,1,0,13
110.0,36,19,2,26,18,1,1,15
120.0,36,23,3,29,21,1,2,18
130.0,44,25,5,31,21,1,4,20
140.0,44,30,5,32,26,1,4,21
150.0,48,32,10,34,23,1,9,23
160.0,48,34,10,35,25,1,9,24
170.0,56,36,11,37,26,1,10,26
180.0,56,41,13,37,29,1,12,26
190.0,60,45,17,38,29,1,16,27
200.0,60,47,19,40,29,1,18,29
210.0,60,49,23,41,27,1,22,30
220.0,60,49,25,41,25,1,24,30
230.0,60,49,25,42,25,1,24,31
240.0,60,49,25,43,25,1,24,32
250.0,60,49,25,44,25,1,24,33
260.0,60,49,25,45,25,1,24,34
270.0,60,49,25,48,25,1,24,37
280.0,60,49,25,49,25,1,24,38
290.0,60,49,25,49,25,1,24,38
300.0,60,49,25,51,25,1,24,40
310.0,60,49,25,52,25,1,24,41
