Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,9,0,8,9,0,0,5
60.0,20,10,0,11,10,0,0,8
70.0,24,14,0,14,14,0,0,10
80.0,24,14,0,18,14,0,0,14
90.0,32,14,0,22,14,0,0,14
100.0,32,18,0,23,18,0,0,14
110.0,36,19,0,25,19,0,0,14
120.0,36,21,2,29,19,0,2,18
130.0,44,23,2,32,21,0,2,19
140.0,44,27,2,33,25,0,2,20
150.0,48,30,5,36,26,1,4,23
160.0,48,31,6,37,26,1,5,24
170.0,56,33,7,38,27,1,6,25
180.0,56,37,9,39,29,1,8,26
190.0,60,41,12,40,30,1,11,27
200.0,60,44,15,41,30,1,14,28
210.0,60,46,17,41,30,1,16,28
220.0,60,46,18,42,29,1,17,29
230.0,60,46,19,42,28,1,18,29
240.0,60,46,19,43,28,1,18,30
250.0,60,46,19,43,28,1,18,30
260.0,60,46,20,43,27,1,19,30
270.0,60,46,20,43,27,1,19,30
280.0,60,46,20,47,27,1,19,33
290.0,60,46,20,47,27,1,19,33
300.0,60,46,20,49,27,1,19,35
310.0,60,46,20,51,27,1,19,37
