Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,2,7,0,0,1
40.0,12,7,0,6,7,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,10,0,12,10,0,0,8
70.0,24,12,2,13,11,1,1,8
80.0,24,15,3,15,13,1,2,10
90.0,32,18,6,17,13,1,5,12
100.0,32,22,6,18,17,1,5,13
110.0,36,24,8,20,17,1,7,15
120.0,36,27,10,22,18,1,9,17
130.0,44,30,10,24,21,1,9,19
140.0,44,36,12,25,25,1,11,20
150.0,48,36,15,26,22,1,14,21
160.0,48,39,16,29,24,1,15,24
170.0,56,41,18,31,24,1,17,26
180.0,56,45,20,32,26,1,19,27
190.0,60,50,22,34,29,1,21,29
200.0,60,52,26,38,27,1,25,32
210.0,60,54,27,39,28,1,26,33
220.0,60,54,30,41,25,1,29,35
230.0,60,54,31,41,24,1,30,35
240.0,60,54,31,44,24,1,30,38
250.0,60,54,31,44,24,1,30,38
260.0,60,54,31,45,24,1,30,39
270.0,60,54,31,47,24,1,30,41
280.0,60,54,31,49,24,1,30,43
290.0,60,54,31,50,24,1,30,44
300.0,60,54,31,51,24,1,30,45
310.0,60,54,31,52,24,1,30,46
