Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,2,7,0,0,1
40.0,12,7,0,6,7,0,0,5
50.0,20,9,0,8,9,0,0,5
60.0,20,13,0,11,13,0,0,8
70.0,24,15,2,13,13,0,2,10
80.0,24,17,2,16,15,0,2,13
90.0,32,17,3,18,14,0,3,13
100.0,32,23,4,19,19,0,4,13
110.0,36,23,4,21,19,0,4,14
120.0,36,26,8,23,18,0,8,16
130.0,44,29,12,23,17,0,12,16
140.0,44,33,12,24,21,0,12,17
150.0,48,36,17,25,19,0,17,18
160.0,48,38,18,25,20,0,18,18
170.0,56,39,19,27,21,1,18,20
180.0,56,42,20,28,23,1,19,21
190.0,60,48,23,28,26,1,22,21
200.0,60,48,27,32,22,1,26,25
210.0,60,52,30,32,23,1,29,25
220.0,60,52,32,35,21,1,31,28
230.0,60,52,32,35,21,1,31,28
240.0,60,52,33,37,20,1,32,30
250.0,60,52,33,38,20,1,32,31
260.0,60,52,33,40,20,1,32,33
270.0,60,52,33,43,20,1,32,36
280.0,60,52,33,47,20,1,32,40
290.0,60,52,33,47,20,1,32,40
300.0,60,52,33,49,20,1,32,41
310.0,60,52,33,51,20,1,32,43
