Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,10,0,12,10,0,0,8
70.0,24,13,0,14,13,0,0,9
80.0,24,13,0,18,13,0,0,13
90.0,32,13,0,22,13,0,0,13
100.0,32,17,0,23,17,0,0,13
110.0,36,19,2,24,17,0,2,13
120.0,36,23,3,28,20,0,3,17
130.0,44,24,4,30,20,0,4,18
140.0,44,28,5,31,23,0,5,19
150.0,48,30,7,33,24,1,6,20
160.0,48,32,8,35,25,1,7,22
170.0,56,33,9,37,25,1,8,24
180.0,56,37,9,39,29,1,8,26
190.0,60,41,10,39,32,1,9,26
200.0,60,44,12,42,33,1,11,29
210.0,60,46,16,43,31,1,15,30
220.0,60,46,16,45,31,1,15,32
230.0,60,46,17,45,30,1,16,32
240.0,60,46,17,47,30,1,16,34
250.0,60,46,17,48,30,1,16,35
260.0,60,46,17,49,30,1,16,36
270.0,60,46,17,50,30,1,16,37
280.0,60,47,17,52,30,0,17,39
290.0,60,47,17,53,30,0,17,40
300.0,60,47,17,53,30,0,17,40
310.0,60,47,17,53,30,0,17,40
