Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,7,0,6,7,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,10,0,12,10,0,0,8
70.0,24,14,2,13,12,0,2,9
80.0,24,18,4,14,14,0,4,10
90.0,32,19,5,17,14,0,5,13
100.0,32,24,5,18,19,0,5,14
110.0,36,26,5,19,21,0,5,15
120.0,36,29,8,22,21,0,8,18
130.0,44,32,10,25,22,0,10,21
140.0,44,38,11,25,27,0,11,21
150.0,48,39,14,27,25,0,14,23
160.0,48,41,17,28,24,0,17,24
170.0,56,43,19,28,24,0,19,24
180.0,56,46,22,29,24,0,22,25
190.0,60,50,23,30,27,0,23,26
200.0,60,53,29,34,25,1,28,30
210.0,60,55,31,36,25,1,30,32
220.0,60,55,33,36,23,1,32,32
230.0,60,55,33,37,23,1,32,33
240.0,60,55,33,40,23,1,32,36
250.0,60,55,33,40,23,1,32,36
260.0,60,55,33,42,23,1,32,38
270.0,60,55,33,43,23,1,32,39
280.0,60,55,33,45,23,1,32,41
290.0,60,55,33,46,23,1,32,42
300.0,60,55,33,47,23,1,32,43
310.0,60,55,33,49,23,1,32,45
