Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,8,0,3,8,0,0,3
40.0,12,9,0,6,9,0,0,6
50.0,20,10,0,8,10,0,0,6
60.0,20,12,0,11,12,0,0,9
70.0,24,15,2,13,13,0,2,11
80.0,24,19,3,15,17,1,2,13
90.0,32,20,5,16,16,1,4,14
100.0,32,26,5,19,22,1,4,17
110.0,36,28,6,22,23,1,5,20
120.0,36,30,6,26,25,1,5,24
130.0,44,33,6,30,28,1,5,28
140.0,44,39,7,30,33,1,6,28
150.0,48,41,10,34,32,1,9,32
160.0,48,43,10,34,34,1,9,32
170.0,56,44,11,36,34,1,10,34
180.0,56,48,12,37,37,1,11,35
190.0,60,53,15,38,39,1,14,36
200.0,60,54,18,41,37,1,17,39
210.0,60,56,20,42,37,1,19,40
220.0,60,57,23,44,35,1,22,42
230.0,60,57,24,44,34,1,23,42
240.0,60,57,24,44,34,1,23,42
250.0,60,57,24,44,34,1,23,42
260.0,60,57,24,44,34,1,23,42
270.0,60,57,24,48,34,1,23,46
280.0,60,57,24,48,34,1,23,46
290.0,60,57,24,50,34,1,23,47
300.0,60,57,24,51,34,1,23,48
310.0,60,57,24,53,34,1,23,50
