Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,8,0,6,8,0,0,5
50.0,20,8,0,8,8,0,0,5
60.0,20,10,0,12,10,0,0,8
70.0,24,13,0,15,13,0,0,10
80.0,24,14,0,18,14,0,0,13
90.0,32,14,0,22,14,0,0,14
100.0,32,18,0,23,18,0,0,14
110.0,36,20,0,25,20,0,0,15
120.0,36,24,2,29,22,0,2,19
130.0,44,24,2,32,22,0,2,21
140.0,44,29,2,34,27,0,2,23
150.0,48,31,4,38,27,0,4,26
160.0,48,33,4,40,29,0,4,28
170.0,56,33,5,41,29,1,4,28
180.0,56,37,7,43,31,1,6,30
190.0,60,42,8,43,35,1,7,30
200.0,60,42,11,46,32,1,10,33
210.0,60,45,13,47,33,1,12,34
220.0,60,46,14,50,33,1,13,37
230.0,60,46,14,51,33,1,13,38
240.0,60,46,14,52,33,1,13,39
250.0,60,46,14,52,33,1,13,39
260.0,60,46,14,52,33,1,13,39
270.0,60,46,14,52,33,1,13,39
280.0,60,46,14,53,33,1,13,40
290.0,60,46,14,54,33,1,13,40
300.0,60,46,14,55,33,1,13,41
310.0,60,46,14,55,33,1,13,41
